STAND	PLOT	REPLIC	VWC	TEMP	DATE	TIME	NOTES
24	37	3	18.4	14.1	2019-09-14	11:57	
24	37	4	21.8	14.4	2019-09-14	11:57	
24	37	5	22.3	14.4	2019-09-14	11:57	
24	37	6	19.3	14.6	2019-09-14	11:57	
24	38	1	19.3	14.4	2019-09-14	11:59	
24	38	2	23.3	14.5	2019-09-14	11:59	
24	38	3	22.2	14.7	2019-09-14	11:59	
24	38	4	24.3	14.5	2019-09-14	11:59	
24	38	5	20.3	14.5	2019-09-14	11:59	
24	38	6	25.7	14.7	2019-09-14	11:59	
24	39	1	22.8	14.8	2019-09-14	12:02	
24	39	2	27.7	14.4	2019-09-14	12:02	
24	39	3	23.3	14.4	2019-09-14	12:02	
24	39	4	25.7	14.8	2019-09-14	12:02	
24	39	5	27.2	14.5	2019-09-14	12:02	
24	39	6	23.8	14.5	2019-09-14	12:02	
24	40	1	30.6	14.9	2019-09-14	12:04	
24	40	2	32.6	14.7	2019-09-14	12:04	
24	40	3	30.1	14.5	2019-09-14	12:04	
24	40	4	30.1	14.6	2019-09-14	12:04	
24	40	5	27.2	14.8	2019-09-14	12:04	
24	40	6	28.7	14.5	2019-09-14	12:04	
24	41	1	21.3	14.4	2019-09-14	12:06	
24	41	2	21.3	14.5	2019-09-14	12:06	
24	41	3	23.3	14.1	2019-09-14	12:06	
24	41	4	19.8	14.2	2019-09-14	12:06	
24	41	5	23.8	14.7	2019-09-14	12:06	
24	41	6	26.2	14.6	2019-09-14	12:06	
24	42	1	25.7	14.5	2019-09-14	12:07	
24	42	2	28.7	14.4	2019-09-14	12:07	
24	42	3	28.2	14.3	2019-09-14	12:07	
24	42	4	27.7	14.2	2019-09-14	12:07	
24	42	5	23.3	14.4	2019-09-14	12:07	
24	42	6	20.2	14.5	2019-09-14	12:07	
58	85	1	9.5	14.9	2019-09-14	12:53	
58	85	2	8.5	15.1	2019-09-14	12:53	
58	85	3	9.5	14.9	2019-09-14	12:53	
58	85	4	8.5	14.9	2019-09-14	12:53	
58	85	5	12.5	15.1	2019-09-14	12:53	
58	85	6	8.1	14.9	2019-09-14	12:53	
58	61	1	12.5	15.1	2019-09-14	12:56	
58	61	2	12	15.5	2019-09-14	12:56	
58	61	3	16.9	15.1	2019-09-14	12:56	
58	61	4	17.9	15	2019-09-14	12:56	
58	61	5	18.4	15.3	2019-09-14	12:56	
58	61	6	17.4	15.1	2019-09-14	12:56	
58	62	1	12.5	14.8	2019-09-14	12:58	
58	62	2	10.5	15.3	2019-09-14	12:58	
58	62	3	11.5	15	2019-09-14	12:58	
58	62	4	17.9	14.9	2019-09-14	12:58	
58	62	5	12	15.3	2019-09-14	12:58	
