PLOT	STAND	VWC.PLOT.MEAN	TEMP.PLOT.MEAN	VWC.LOGGER	TEMP.LOGGER	DATE.TIME.PLOT	DATE.TIME.LOGGER	JULIAN
Plot_86	Stand_100	15.683333333333334	8.916666666666668	0.2344	9.04	2019-10-20T13:57:00Z	2019-10-20T13:30:03Z	293
Plot_25	Stand_20	20	9.083333333333334	0.2666	9.509	2019-10-19T12:09:00Z	2019-10-19T11:23:34Z	292
Plot_26	Stand_20	20.816666666666666	8.833333333333332	0.2666	9.509	2019-10-19T12:12:00Z	2019-10-19T11:23:34Z	292
Plot_27	Stand_20	19.2	8.6	0.2666	9.509	2019-10-19T12:16:00Z	2019-10-19T11:23:34Z	292
Plot_28	Stand_20	17.383333333333333	8.466666666666667	0.2666	9.509	2019-10-19T12:20:00Z	2019-10-19T11:23:34Z	292
Plot_29	Stand_20	19.78333333333333	8.983333333333334	0.2666	9.509	2019-10-19T12:23:00Z	2019-10-19T11:23:34Z	292
Plot_30	Stand_20	17.55	8.566666666666666	0.2666	9.509	2019-10-19T12:28:00Z	2019-10-19T11:23:34Z	292
Plot_79	Stand_20	23.933333333333334	8.65	0.2666	9.509	2019-10-19T12:05:00Z	2019-10-19T11:23:34Z	292
Plot_31	Stand_22	20.666666666666668	9.2	0.2783	9.509	2019-10-20T12:31:00Z	2019-10-20T11:41:56Z	293
Plot_32	Stand_22	30.8	9.083333333333334	0.2783	9.509	2019-10-20T12:35:00Z	2019-10-20T11:41:56Z	293
Plot_33	Stand_22	26.78333333333333	9.1	0.2783	9.509	2019-10-20T12:38:00Z	2019-10-20T11:41:56Z	293
Plot_34	Stand_22	24.416666666666668	8.95	0.2783	9.509	2019-10-20T12:41:00Z	2019-10-20T11:41:56Z	293
Plot_35	Stand_22	29.566666666666666	9.25	0.2783	9.509	2019-10-20T12:45:00Z	2019-10-20T11:41:56Z	293
Plot_36	Stand_22	28.266666666666666	9.15	0.2783	9.509	2019-10-20T12:48:00Z	2019-10-20T11:41:56Z	293
Plot_80	Stand_22	27.55	9.033333333333333	0.2783	9.509	2019-10-20T12:25:00Z	2019-10-20T11:41:56Z	293
Plot_37	Stand_24	21.71666666666667	8.833333333333334	0.2973	9.04	2019-10-20T11:08:00Z	2019-10-20T10:57:18Z	293
Plot_38	Stand_24	22.616666666666667	8.9	0.2973	9.04	2019-10-20T11:12:00Z	2019-10-20T10:57:18Z	293
Plot_39	Stand_24	21.9	8.866666666666667	0.2973	9.04	2019-10-20T11:15:00Z	2019-10-20T10:57:18Z	293
Plot_40	Stand_24	30.566666666666666	8.966666666666667	0.2973	9.04	2019-10-20T11:18:00Z	2019-10-20T10:57:18Z	293
Plot_41	Stand_24	22.05	8.766666666666666	0.2973	9.04	2019-10-20T11:22:00Z	2019-10-20T10:57:18Z	293
Plot_42	Stand_24	25.733333333333334	8.783333333333333	0.2973	9.04	2019-10-20T11:25:00Z	2019-10-20T10:57:18Z	293
Plot_81	Stand_24	19.916666666666668	8.816666666666666	0.2973	9.04	2019-10-20T11:04:00Z	2019-10-20T10:57:18Z	293
Plot_1	Stand_3	14.973333333333333	8.383333333333333	0.2793	8.245	2019-10-19T13:09:00Z	2019-10-19T12:51:17Z	292
Plot_2	Stand_3	16.316666666666666	8.433333333333334	0.2793	8.245	2019-10-19T13:12:00Z	2019-10-19T12:51:17Z	292
Plot_3	Stand_3	17.866666666666667	8.45	0.2793	8.245	2019-10-19T13:16:00Z	2019-10-19T12:51:17Z	292
Plot_4	Stand_3	16.383333333333333	8.383333333333333	0.2793	8.245	2019-10-19T13:20:00Z	2019-10-19T12:51:17Z	292
Plot_5	Stand_3	19.25	8.55	0.2793	8.245	2019-10-19T13:23:00Z	2019-10-19T12:51:17Z	292
Plot_6	Stand_3	20.733333333333334	8.7	0.2793	8.245	2019-10-19T13:26:00Z	2019-10-19T12:51:17Z	292
Plot_75	Stand_3	17.133333333333333	8.3	0.2793	8.245	2019-10-19T13:30:00Z	2019-10-19T12:51:17Z	292
Plot_43	Stand_31	21.15	8.433333333333334	0.2708	7.87	2019-10-19T08:31:00Z	2019-10-19T07:52:24Z	292
Plot_44	Stand_31	18.933333333333334	7.9	0.2708	7.87	2019-10-19T08:38:00Z	2019-10-19T07:52:24Z	292
Plot_45	Stand_31	21.733333333333334	7.916666666666667	0.2708	7.87	2019-10-19T08:44:00Z	2019-10-19T07:52:24Z	292
Plot_46	Stand_31	21.8	8.333333333333334	0.2708	7.87	2019-10-19T08:49:00Z	2019-10-19T07:52:24Z	292
Plot_47	Stand_31	20.46666666666667	8.133333333333333	0.2708	7.87	2019-10-19T08:53:00Z	2019-10-19T07:52:24Z	292
Plot_48	Stand_31	16.433333333333334	7.916666666666666	0.2708	7.87	2019-10-19T08:57:00Z	2019-10-19T07:52:24Z	292
Plot_82	Stand_31	19.016666666666666	7.716666666666667	0.2708	7.87	2019-10-19T08:26:00Z	2019-10-19T07:52:24Z	292
Plot_49	Stand_41	11.416666666666666	8.833333333333334	0.2596	9.558	2019-10-20T14:42:00Z	2019-10-20T14:35:26Z	293
Plot_50	Stand_41	11.816666666666666	8.85	0.2596	9.558	2019-10-20T14:46:00Z	2019-10-20T14:35:26Z	293
Plot_51	Stand_41	11.416666666666666	8.866666666666667	0.2596	9.558	2019-10-20T14:49:00Z	2019-10-20T14:35:26Z	293
Plot_52	Stand_41	12.233333333333334	8.8	0.2596	9.558	2019-10-20T14:52:00Z	2019-10-20T14:35:26Z	293
Plot_53	Stand_41	16.483333333333334	8.783333333333333	0.2596	9.558	2019-10-20T14:55:00Z	2019-10-20T14:35:26Z	293
Plot_54	Stand_41	18.033333333333335	8.816666666666666	0.2596	9.558	2019-10-20T14:58:00Z	2019-10-20T14:35:26Z	293
Plot_83	Stand_41	11.75	8.8	0.2596	9.558	2019-10-20T14:39:00Z	2019-10-20T14:35:26Z	293
Plot_55	Stand_50	16.4	8.450000000000001	0.2783	8.444	2019-10-19T14:07:00Z	2019-10-19T13:15:23Z	292
Plot_56	Stand_50	20.566666666666666	8.833333333333332	0.2783	8.444	2019-10-19T14:11:00Z	2019-10-19T13:15:23Z	292
Plot_57	Stand_50	24.25	8.95	0.2783	8.444	2019-10-19T14:15:00Z	2019-10-19T13:15:23Z	292
Plot_58	Stand_50	19.183333333333334	9.283333333333333	0.2783	8.444	2019-10-19T14:19:00Z	2019-10-19T13:15:23Z	292
Plot_59	Stand_50	16.15	8.816666666666666	0.2783	8.444	2019-10-19T14:23:00Z	2019-10-19T13:15:23Z	292
Plot_60	Stand_50	16.4	8.883333333333333	0.2783	8.444	2019-10-19T14:26:00Z	2019-10-19T13:15:23Z	292
Plot_84	Stand_50	16.099999999999998	8.45	0.2783	8.444	2019-10-19T14:04:00Z	2019-10-19T13:15:23Z	292
