PLOT.ID	PLOT	SITE	N.MIN	GRAV	SPEC.TOTAL.C	SPEC.TOTAL.N	SOIL.CN	SOIL.PH	LON	LAT
Plot_50-1	1	Site_50	0.34397994315837893	0.13099330096255501	20.7705	0.85005	24.434445032645137	4.4	-86.083687788124	44.25664578565876
Plot_50-2	2	Site_50	0.18336954405086234	0.16449561286934544	29.71	1.1572	25.674040788109227	4.05	-86.08355979723403	44.25665988618255
Plot_50-3	3	Site_50	0.1462366841978405	0.22871216961186824	59.468999999999994	1.7385499999999998	34.20609128296569	3.67	-86.08354684398304	44.256599999918464
Plot_50-4	4	Site_50	0.24549673871586133	0.12431981560309055	22.909	0.9019	25.400820490076498	3.94	-86.083690369178	44.25645519627137
Plot_50-5	5	Site_50	0.32673335992736174	0.13726378554252572	24.35	0.9615000000000001	25.325013000520016	3.93	-86.08375254947597	44.25657573747715
Plot_50-6	6	Site_50	0.1651718623516929	0.1302806665470138	23.466	0.84495	27.77205751819634	4.13	-86.08380583131311	44.25665938293787
Plot_58-1	1	Site_58	0.22628978322884735	0.12537989502754068	18.791999999999998	0.8535000000000001	22.01757469244288	4.2	-85.89663487893382	44.31024844563089
Plot_58-2	2	Site_58	0.28133843264203584	0.1094681143078806	14.7005	0.73105	20.108747691676356	4.37	-85.89653825470057	44.31013125759591
Plot_58-3	3	Site_58	0.3033441222380441	0.11608152617011366	16.4565	0.7664	21.472468684759914	4.46	-85.8964924609571	44.31006957341695
Plot_58-4	4	Site_58	0.3336681376500631	0.12099323493834456	16.9115	0.8013	21.105079246224882	4.44	-85.89658333333334	44.31001990518006
Plot_58-5	5	Site_58	0.31420513461746813	0.11130061350498086	15.973	0.7517499999999999	21.24775523777852	4.61	-85.89665714172286	44.31006940195518
Plot_58-6	6	Site_58	0.29067347531195586	0.10516122791331864	13.828	0.67145	20.594236354158912	4.31	-85.89674174049652	44.31014139875063
Plot_6-1	1	Site_6	0.3019163776097977	0.190402906286516	22.259	1.4864	14.975107642626483	5.09	-85.66858088910445	44.21949180405523
Plot_6-2	2	Site_6	0.4934859516788393	0.16052527500373262	18.7675	1.1804999999999999	15.897924608216856	4.63	-85.66846134703063	44.219528093643014
Plot_6-3	3	Site_6	0.5695178748343716	0.18792215633335138	26.105	1.7736	14.718651330626976	5.13	-85.6685084787153	44.21944156434106
Plot_6-4	4	Site_6	0.3549480295076089	0.1623858690389582	18.935	1.351	14.015544041450777	5.23	-85.66856313052845	44.21936328771723
Plot_6-5	5	Site_6	0.35908201345654883	0.16910914842040092	20.164	1.3639499999999998	14.78353312071557	5.07	-85.66872050485667	44.21937784382568
Plot_6-6	6	Site_6	0.4097822802565465	0.21506555498340174	24.0835	1.63205	14.756594467081278	5.05	-85.66872586920432	44.219521169568935
Plot_7-1	1	Site_7	0.37972335915409855	0.11179590343125698	17.233	0.9475	18.187862796833773	4.11	-85.67723552179689	44.19285312394917
Plot_7-2	2	Site_7	0.5149519536022851	0.12091679222130175	17.8625	1.0419	17.144159708225356	4.22	-85.67702540705467	44.192883311038806
Plot_7-3	3	Site_7	0.3021142664234233	0.11457167017286907	15.795	0.9792999999999998	16.128867558460126	4.26	-85.67711726807192	44.19274530776874
Plot_7-4	4	Site_7	0.4349438960937248	0.1268517756503882	18.3585	1.12905	16.26013019795403	4.31	-85.67722190511549	44.192675403878155
Plot_7-5	5	Site_7	0.3754111399860767	0.13856679970636948	20.719500000000004	1.2850000000000001	16.12412451361868	4.31	-85.67740858705083	44.19270036419319
Plot_7-6	6	Site_7	0.4538252575120848	0.12033084459794527	16.2745	1.01585	16.020573903627508	4.35	-85.67729468240474	44.192811933448
Plot_9-1	1	Site_9	0.0500725445119634	0.14274593980723765	24.682500000000005	1.0999	22.440676425129556	3.98	-85.9770859363654	44.32053684715283
Plot_9-2	2	Site_9	0.606846579479059	0.22177297642888372	26.3455	1.2465	21.135579622944245	4.72	-85.97697970898929	44.32056036945502
Plot_9-3	3	Site_9	0.4208839237584784	0.12325458458206272	20.8615	0.8882500000000001	23.486068111455108	4.15	-85.97699035138544	44.32045636341439
Plot_9-4	4	Site_9	0.27159844861854354	0.13336995029896087	19.767500000000002	0.8629500000000001	22.906889159279213	4.11	-85.97707418132435	44.32035796373141
Plot_9-5	5	Site_9	0.3965470533045632	0.14760242421490757	25.304000000000002	1.13735	22.248208554974283	4.35	-85.97715190752817	44.32046344302545
Plot_9-6	6	Site_9	0.4144679653590902	0.12744550263880772	20.008	1.01555	19.701639505686572	4.48	-85.9772286760469	44.320534224746176
