Well	Well Type	Replicate	Threshold	Ct	Quantity	R Sq	Slope	
C9	Unknown	59	0.6365	24.12	1.182e+004	0.992	-3.717	
D9	Unknown	60	Reference	Reference	Reference	Reference	Reference	
D9	Unknown	60	0.6365	24.95	7.078e+003	0.992	-3.717	
E9	Unknown	61	Reference	Reference	Reference	Reference	Reference	
E9	Unknown	61	0.6365	24.19	1.138e+004	0.992	-3.717	
F9	Unknown	62	Reference	Reference	Reference	Reference	Reference	
F9	Unknown	62	0.6365	24.62	8.721e+003	0.992	-3.717	
G9	Unknown	63	Reference	Reference	Reference	Reference	Reference	
G9	Unknown	63	0.6365	22.62	3.000e+004	0.992	-3.717	
H9	Unknown	64	Reference	Reference	Reference	Reference	Reference	
H9	Unknown	64	0.6365	22.82	2.649e+004	0.992	-3.717	
A10	Unknown	65	Reference	Reference	Reference	Reference	Reference	
A10	Unknown	65	0.6365	22.36	3.525e+004	0.992	-3.717	
B10	Unknown	66	Reference	Reference	Reference	Reference	Reference	
B10	Unknown	66	0.6365	24.49	9.429e+003	0.992	-3.717	
C10	Unknown	67	Reference	Reference	Reference	Reference	Reference	
C10	Unknown	67	0.6365	23.04	2.314e+004	0.992	-3.717	
D10	Unknown	68	Reference	Reference	Reference	Reference	Reference	
D10	Unknown	68	0.6365	23.34	1.921e+004	0.992	-3.717	
E10	Unknown	69	Reference	Reference	Reference	Reference	Reference	
E10	Unknown	69	0.6365	23.42	1.830e+004	0.992	-3.717	
F10	Unknown	70	Reference	Reference	Reference	Reference	Reference	
F10	Unknown	70	0.6365	24.44	9.727e+003	0.992	-3.717	
G10	Unknown	71	Reference	Reference	Reference	Reference	Reference	
G10	Unknown	71	0.6365	24.05	1.236e+004	0.992	-3.717	
H10	Unknown	72	Reference	Reference	Reference	Reference	Reference	
H10	Unknown	72	0.6365	22.70	2.850e+004	0.992	-3.717	
A11	Unknown	73	Reference	Reference	Reference	Reference	Reference	
A11	Unknown	73	0.6365	23.70	1.537e+004	0.992	-3.717	
B11	Unknown	74	Reference	Reference	Reference	Reference	Reference	
B11	Unknown	74	0.6365	23.50	1.736e+004	0.992	-3.717	
C11	Unknown	75	Reference	Reference	Reference	Reference	Reference	
C11	Unknown	75	0.6365	24.27	1.077e+004	0.992	-3.717	
D11	Unknown	76	Reference	Reference	Reference	Reference	Reference	
D11	Unknown	76	0.6365	24.07	1.225e+004	0.992	-3.717	
E11	Unknown	77	Reference	Reference	Reference	Reference	Reference	
E11	Unknown	77	0.6365	23.90	1.358e+004	0.992	-3.717	
F11	Unknown	78	Reference	Reference	Reference	Reference	Reference	
F11	Unknown	78	0.6365	24.17	1.152e+004	0.992	-3.717	
G11	Unknown	79	Reference	Reference	Reference	Reference	Reference	
G11	Unknown	79	0.6365	24.28	1.072e+004	0.992	-3.717	
H11	Unknown	80	Reference	Reference	Reference	Reference	Reference	
H11	Unknown	80	0.6365	24.71	8.238e+003	0.992	-3.717	
